medium,name,prints_available,artist_followers,num_views,material,subject,artist_name,date,num_favs,size,artist_country,price,artist_NoOfArts
Oil,Melting... Melting...,,0,31,Canvas,Body,Zoey Zoric,2016-01-01.000,1,24  H x  20  W x  1.5  in,Canada,$705.00,(11)
Acrylic,Lady Gaga,,35,63,Canvas,Portrait,M O'Neal,2017-01-01.000,3,56  H x  44  W x  1.3  in,United States,$11000.00,(23)
Oil,Schildersverdriet,Prints,102,4230,Canvas,Still Life,Sierk van Meeuwen,2010-01-01.000,68,14.2  H x  15.7  W x  0.8  in,Netherlands,$2750.00,(42)
Oil,Traveling mist over the lake Sinevir,,167,529,Canvas,Landscape,Anastasiia Grygorieva,2016-01-01.000,6,17.7  H x  35.4  W x  0.8  in,Ukraine,$1840.00,(225)
"Acrylic, Gesso",By The Way,Prints,59,570,Canvas,Abstract,Suzanne Stacy,2015-01-01.000,30,36  H x  36  W x  0.5  in,United States,$1175.00,(80)
Acrylic,All the best! [abstract],Prints,252,1987,Canvas,Abstract,Aleksandra Toborowicz,2003-04-09.000,29,39.2  H x  47.2  W x  1  in,Poland,$11000.00,(270)
Oil,Close of Day,Prints,283,658,Wood,Landscape,Owen Normand,2015-01-01.000,25,9.4  H x  7.1  W x  0.1  in,Germany,$445.00,(105)
"Oil, Acrylic",'Morning has broken',,250,383,Canvas,Landscape,Per Anders,2017-01-01.000,57,23.6  H x  27.6  W x  1.2  in,Denmark,$940.00,(106)
"Acrylic, Oil, Latex",The Dreamer in Me,Prints,14,1181,Canvas,Love,Giuseppe Tocco,2009-01-01.000,16,60  H x  48  W x  1.3  in,United States,$2350.00,(8)
Acrylic,Umber (Featured Painting),Prints,638,801,Canvas,Abstract,Lisa Carney,2012-01-01.000,33,34  H x  36  W x  1.5  in,Canada,$1410.00,(163)
Acrylic,Fashionatura I,,113,177,Canvas,Abstract,Marit Geraldine Bostad,2017-01-01.000,5,40.9  H x  33.1  W x  2  in,Norway,$4870.00,(56)
Acrylic,Landscape #1335.5 Sunday.,,165,1020,Wood,Landscape,Andrey Bogoslowsky,2009-06-22.000,19,14  H x  11  W x  1  in,United States,$980.00,(323)
Ink,shadow cat,Prints,37,215,Paper,Cats,pechane sumie,2016-01-01.000,7,15.7  H x  11.8  W x  0.4  in,France,$205.00,(417)
Acrylic,The path 2,Prints,21,138,Canvas,Landscape,Inga Art,2016-01-01.000,6,17.3  H x  21.3  W x  0  in,Russia,$759.00,(101)
"Oil, Steel, Enamel",Block II,,59,425,Steel,Patterns,Lyndsey Gilmour,2015-01-01.000,6,15.7  H x  15.7  W x  0.4  in,United Kingdom,$1820.00,(23)
"Acrylic, Spray Paint",The Edge of Perception III,Prints,153,385,Canvas,Abstract,Francoise Issaly,2016-01-01.000,8,48  H x  48  W x  2  in,Canada,$3910.00,(130)
Acrylic,Party lights,,178,672,Canvas,Botanic,Carolien Wissing,2015-01-01.000,43,27.6  H x  25.6  W x  0.8  in,Netherlands,$1140.00,(23)
Acrylic,Wild dog,,7,979,Canvas,Animal,Dagmar Pomar,2013-08-01.000,41,21.7  H x  18.1  W x  0.8  in,Spain,$410.00,(7)
Oil,4 boats,Prints,134,301,Canvas,Boat,Vadim Puyandaev,2017-01-01.000,12,56  H x  76  W x  1.5  in,United States,$18250.00,(63)
Oil,l'immigrata,,27,260,Other,People,Melinda Borysevicz,2016-01-01.000,12,78  H x  94  W x  2  in,Italy,$19500.00,(20)
"Acrylic, Oil, fresco, oil glaze, canvas",Elixir,Prints,364,435,"Canvas, Wood, Other",Abstract,Alicia LaChance,2016-01-01.000,30,48  H x  48  W x  1.8  in,United States,$5560.00,(70)
"Acrylic, Oil",Garden at Giverny,,10,379,Canvas,Landscape,Daniel W Jeon,2016-01-01.000,14,24  H x  36  W x  1.5  in,United States,$11000.00,(13)
Oil,You've Got to Break Some Eggs,Prints,7,248,Canvas,Food,Ramona Roush,2016-01-01.000,21,20  H x  16  W x  0.3  in,United States,$460.00,(21)
Oil,Bouquet of tulips.,Prints,27,604,Canvas,Botanic,Tetiana Siedlova,2016-01-01.000,10,27.6  H x  23.6  W x  0.8  in,Slovakia,$1250.00,(16)
Oil,With a red tree,Prints,3,349,Canvas,Still Life,Yoon A Kim,2013-01-01.000,16,47.2  H x  74.8  W x  1.2  in,South Korea,$6050.00,(11)
Oil,Panda Trip,Prints,2,649,Canvas,Animal,Rigot-Müller Pauline,2013-01-01.000,17,31.5  H x  24.4  W x  0.8  in,France,$1240.00,(19)
"Acrylic, Gesso, Ink, Paper, Tempera","MENINE ROUGE,2012 ( on show )",Prints,310,365,"Canvas, Paper",Women,Hanna Sidorowicz,2012-01-01.000,8,23.6  H x  23.6  W x  0.8  in,France,$1990.00,(136)
Oil,Untitled (Tiles#2),,139,2108,Canvas,Still Life,Steffen Vogelezang,2014-06-20.000,82,45.3  H x  54.7  W x  1.6  in,Netherlands,$2860.00,(25)
"plastisol, Spray Paint, Screenprinting",Prince - Purple Majesty,,39,248,Canvas,Pop Culture/Celebrity,Devon Almarinez,2016-01-01.000,11,40  H x  30  W x  1.5  in,United States,$6950.00,(45)
Oil,Reeds,,2,662,Canvas,Landscape,Gosia Podosek,2010-04-30.000,18,66  H x  96  W x  1.5  in,United States,$12600.00,(2)
"Acrylic, Chalk",Inner,,210,51,Wood,People,Chantal van Houten,2017-01-01.000,4,47.2  H x  47.2  W x  0.4  in,Netherlands,$4410.00,(105)
"Acrylic, Charcoal",Tropicana,Prints,496,897,Canvas,People,Magdalena Krzak,2016-01-01.000,57,40  H x  30  W x  1.5  in,United States,$2290.00,(69)
Oil,radom abstract (series 3/8) # 200,Prints,936,1432,"Canvas, Wood",Abstract,Harry Moody,2015-12-16.000,23,22  H x  30  W x  0.8  in,United States,$1190.00,(654)
"Acrylic, Oil",Vista (25),,328,402,Cardboard,Abstract,Ad van Riel,2014-12-16.000,7,8.7  H x  16.1  W x  0.4  in,Netherlands,$345.00,(202)
"Oil, Acrylic",Soulier vernis,,809,674,Canvas,Fashion,Pascale Taurua,2017-01-01.000,44,45.7  H x  28.7  W x  0.8  in,France,$1860.00,(81)
"Watercolor, Acrylic, Ink",Dew drops,Prints,55,2320,Paper,Nude,Katarzyna Kopanska,2011-06-15.000,25,19.7  H x  27.6  W x  0.1  in,Poland,$760.00,(62)
Acrylic,Exonym #3,,142,96,Canvas,Geometric,Michelle Louis,2016-01-01.000,12,50  H x  42  W x  0.2  in,United States,$1740.00,(30)
Acrylic,scinegue #4,Prints,286,1808,Canvas,Portrait,Joshua Evans-Hooper,2015-01-01.000,18,15.4  H x  11.4  W x  0.8  in,United Kingdom,$295.00,(40)
"Acrylic, Gesso",A Town called Nowhere,,171,1858,Canvas,Abstract,Joost Verhagen,2015-01-01.000,19,39.4  H x  55.1  W x  0.8  in,Netherlands,$1900.00,(42)
Oil,So Relaxed,,6,32,Canvas,Water,Angie Sinclair,2017-01-01.000,0,30  H x  40  W x  1.5  in,United States,$2550.00,(20)
Acrylic,mark,,12,73,Canvas,Abstract,asami ikenishi,2017-01-01.000,4,9.8  H x  7.9  W x  0.6  in,Japan,$345.00,(54)
"Acrylic, Watercolor",SB-22,Prints,575,504,Paper,Portrait,OSCAR ALVAREZ,2017-01-01.000,34,16.1  H x  12.2  W x  0  in,Spain,$560.00,(258)
"Acrylic, Ink",A gallant knight,Prints,1816,2746,Canvas,Animal,Rusudan Khizanishvili,2015-01-01.000,35,19.7  H x  19.7  W x  0.8  in,Georgia,$2390.00,(427)
"Print on canvas, Oil",Maksim,Prints,38,239,Canvas,Wall,Isil Gulecyuz,2014-01-01.000,11,72.8  H x  55.1  W x  1  in,Turkey,$3410.00,(37)
Oil,One wish.,Prints,162,278,Canvas,Fantasy,Z E D,2017-01-01.000,4,23.6  H x  23.6  W x  0.8  in,United States,$2190.00,(263)
Acrylic,Frederic Edwin Church's Window,Prints,74,272,Canvas,Landscape,Gareth Kemp,2016-03-12.000,8,55.1  H x  47.2  W x  2  in,,$3410.00,(35)
Vinyl,Colatura Gialla,Prints,88,771,Paper,Cinema,Alessandro D'Aquila,2014-04-19.000,15,11.4  H x  11.4  W x  0.8  in,IT,$345.00,(59)
"Oil, Ink, Gouache",Your Life In My Hands,,37,657,"Canvas, Wood",Animal,Michael Hayter,2015-10-16.000,6,7.9  H x  7.9  W x  0.6  in,United Kingdom,$415.00,(129)
Acrylic,GUIDE.,Prints,191,2482,"Canvas, Wood",Landscape,Oscar Manuel Vargas,2013-01-01.000,33,36  H x  48  W x  2  in,United States,$5590.00,(130)
Oil,Cherry baby,Prints,19,901,"Soft (Yarn, Cotton, Fabric), Wood",People,Meta Solar,2016-02-18.000,14,15.7  H x  11.8  W x  0.8  in,Slovenia,$995.00,(20)
"Acrylic, Oil",through birch trees,,18,268,"Canvas, Iron, Wood",Landscape,Krystyna Urbanellis,2016-01-01.000,9,10  H x  10  W x  1.5  in,Canada,$240.00,(48)
Acrylic,road to town,,97,124,Canvas,Abstract,Randi Antonsen,2017-01-01.000,2,15.7  H x  15.7  W x  1.4  in,Norway,$345.00,(32)
Oil,"""Situation#40@",,0,38,Canvas,Abstract,Andrey Skripka,2016-01-01.000,0,47.2  H x  38.7  W x  0.8  in,Russia,$2550.00,(9)
Oil,Red Painting with Stairways,Prints,267,673,Canvas,Architecture,Ingrid Knaus,2013-05-05.000,18,23.6  H x  31.5  W x  0.8  in,Austria,$2190.00,(124)
Oil,Giverny 034 [Abstract N° 1586],,1505,975,Canvas,Abstract,Koen Lybaert,2016-01-01.000,24,27.6  H x  19.7  W x  0.2  in,Belgium,$815.00,(778)
Oil,Refusal,Prints,488,1862,Canvas,Portrait,Marek Hospodarsky,2013-01-25.000,11,31.5  H x  23.6  W x  0.8  in,Czech Republic,$1120.00,(145)
Oil,Step on Me,,46,341,Canvas,Abstract,Xiaoxuan Liu,2016-01-01.000,16,47.3  H x  31.5  W x  1  in,China,$1340.00,(17)
Oil,Algae,,231,1027,"Canvas, Wood",Landscape,Georgia Noble,2015-01-01.000,29,35.4  H x  35.4  W x  1.2  in,United Kingdom,$1440.00,(29)
Acrylic,"Theodicy, Charles M.",,71,526,Canvas,Abstract,jerzy cepiński,2016-01-01.000,15,19.7  H x  15.7  W x  1.5  in,Poland,$1240.00,(38)
Acrylic,Hooter the Dog,Prints,198,445,Canvas,Dogs,Andy Shaw,2017-01-01.000,27,7.9  H x  7.9  W x  0.8  in,United Kingdom,$295.00,(279)
"Acrylic, Ink, Paint","""Hero""",Prints,13,607,Cardboard,Abstract,Vicky Tsakali,2013-11-14.000,15,39.4  H x  27.6  W x  0.4  in,Greece,$1190.00,(12)
Oil,Forest's lagoon,,25,141,Canvas,Nature,Cesare Reggiani,2016-01-01.000,10,23.6  H x  23.6  W x  1.6  in,Italy,$2090.00,(19)
Oil,Curtain 3,Prints,372,980,Canvas,Still Life,Alex Hanna,2016-01-01.000,90,39.4  H x  31.5  W x  1.2  in,United Kingdom,$3260.00,(66)
Ink,Blue flowers,,3,168,"Soft (Yarn, Cotton, Fabric)",Floral,Lina Pakalnyte,2015-05-03.000,5,20.9  H x  16.9  W x  0.8  in,Lithuania,$860.00,(13)
"Acrylic, Ink",Galactic Dust Bunnies Deep Water lll,Prints,0,975,Canvas,Abstract,Suzan Woodruff,2014-10-09.000,16,16  H x  16  W x  1  in,,$3250.00,(1)
Acrylic,Neverland,Prints,21,625,Canvas,Abstract,Srishti Rana Menon,2016-03-23.000,31,18  H x  14  W x  1.5  in,India,$360.00,(14)
Oil,Sunset Marsh 2,,22,208,Canvas,Landscape,Victoria Veedell,2016-01-01.000,12,12  H x  6  W x  1.5  in,United States,$400.00,(63)
Oil,No Mas Amor,Prints,33,2586,Wood,Still Life,Kevork Cholakian,2014-08-15.000,59,27  H x  30  W x  0.5  in,United States,$5410.00,(14)
Oil,No title (circles),,43,438,Canvas,Portrait,Anne Torpe,2015-05-13.000,10,27.6  H x  23.6  W x  0.8  in,Denmark,$1890.00,(24)
Oil,Let's Try That at Home,,76,1031,Other,Culture,Elena García de la Fuente,2016-01-01.000,73,9.3  H x  9.3  W x  0.7  in,United Kingdom,$700.00,(14)
Oil,Winter forest....,,200,231,Wood,Landscape,Konrad Biro,2017-01-01.000,9,9.1  H x  7.9  W x  0.1  in,,$210.00,(476)
Oil,Breathe Deeply,,2,31,Canvas,Landscape,Kirby Fredendall,2016-01-01.000,0,18  H x  18  W x  1  in,United States,$1225.00,(12)
Oil,Granada Bait & Tackle,Prints,42,1107,Canvas,Seascape,Lesley Giles,2009-01-01.000,29,30  H x  40  W x  2  in,,$3000.00,(92)
Acrylic,City by the Sea,,93,86,Canvas,Abstract,Shellie Garber,2016-12-30.000,4,20  H x  20  W x  1.5  in,United States,$510.00,(136)
Acrylic,Consciousness,Prints,7,663,Canvas,Abstract,Rochana Dubey,2016-01-01.000,31,40  H x  30  W x  1.5  in,United States,$1690.00,(11)
Acrylic,Brace Yourself,Prints,4,26,Canvas,Abstract,Jasmine Farrow,2016-01-01.000,0,16  H x  16  W x  1.5  in,United Kingdom,$260.00,(10)
Acrylic,V-bwc5,,48,314,Paper,Abstract,Seung Yean Cho,2016-01-01.000,4,12  H x  15  W x  0.1  in,South Korea,$600.00,(72)
"Acrylic, Paper, Fabric",The Dance,,5,68,Canvas,Abstract,Joyce Pommer,2016-01-01.000,5,24  H x  24  W x  1.5  in,United States,$2750.00,(8)
Acrylic,Eclectic Electric Forest,,123,1073,Canvas,Nature,Lori Goldberg,2014-11-04.000,22,36  H x  24  W x  2  in,Canada,$1590.00,(62)
Acrylic,Seeing Light everywhere,Prints,13,702,"Canvas, Soft (Yarn, Cotton, Fabric), Wood",Abstract,Marlise Witschi,2015-12-18.000,37,36  H x  36  W x  1.8  in,Canada,$1950.00,(16)
"Oil, Color, Paint, Interactive",Traces,,1445,689,"Canvas, Soft (Yarn, Cotton, Fabric)",Interiors,Melinda Matyas,2016-01-01.000,43,31.5  H x  23.6  W x  0.5  in,United Kingdom,$2990.00,(80)
Acrylic,ES041,,89,526,Canvas,Abstract,Radek Smach,2015-01-01.000,16,19.7  H x  19.7  W x  0.6  in,Czech Republic,$760.00,(85)
"Acrylic, Ink, Paper",Barn Series: White Hill,,40,397,Wood,Landscape,Brenda Cirioni,2013-11-01.000,13,36  H x  36  W x  1.5  in,United States,$2850.00,(16)
Oil,The portrait of a guy,,233,182,Canvas,Portrait,Gor Gyurjyan,2012-01-01.000,50,19.7  H x  15.7  W x  0.8  in,Armenia,$1280.00,(10)
Giclee,"Daniel, Patron Saint of Wayward Mariners, Limited Edition of 250",,65,310,Paper,Fantasy,Paul Bond,2015-01-01.000,8,20  H x  20  W x  0.1  in,United States,$280.00,(81)
"Acrylic, Ink, Polymer",1200 Maar maar Koodjal,,0,14,Canvas,Abstract,Yelena Patishman,2016-01-01.000,1,48  H x  48  W x  2  in,Australia,$3110.00,(11)
Gouache,La vie est si belle,,11,171,Paper,Abstract,Ann Saint-Gelais,2016-01-01.000,8,8.5  H x  11.5  W x  0.2  in,Canada,$370.00,(15)
Acrylic,Manhole,,976,1522,Canvas,Landscape,Simon Hopkinson,2015-01-01.000,39,35.2  H x  47  W x  1.6  in,United Kingdom,$1130.00,(236)
"Acrylic, Gesso, Watercolor",painting abstract painting by Jolina Anthony,,107,399,Canvas,Abstract,Jolina Anthony,2016-01-01.000,11,36  H x  24  W x  0.8  in,Spain,$920.00,(72)
Acrylic,Pasen,Prints,210,596,Canvas,Family,Victor van de Lande,2016-01-12.000,13,31.5  H x  39.4  W x  0.8  in,Netherlands,$990.00,(142)
Acrylic,Spring Air,,448,458,Canvas,Seasons,William Kendall,2016-01-01.000,20,36  H x  36  W x  2  in,United States,$2410.00,(90)
Spray Paint,Untitled,Prints,8,759,Canvas,Geometric,thierry florit,2015-01-01.000,42,35.4  H x  35.4  W x  1.4  in,United Kingdom,$4910.00,(9)
Oil,Coates,,10,27,Canvas,Portrait,Kim Hyunji,2015-01-01.000,2,39.4  H x  39.4  W x  1.6  in,Australia,$3710.00,(16)
Oil,A drop,,2,416,Canvas,Portrait,Nam hun Lim,2014-01-15.000,9,51.3  H x  31.6  W x  1.2  in,,$5810.00,(3)
"embossing, Acrylic, gold leaf",Scent of a Lipstick,,9,191,Paper,Abstract,Erik Cheung,2017-01-01.000,5,18  H x  24  W x  0.1  in,Canada,$310.00,(89)
Oil,Floating life,,125,534,Wood,People,Francien Krieg,2012-02-01.000,24,23.6  H x  21.7  W x  0.4  in,Netherlands,$2750.00,(15)
"Acrylic, Gold paint, Paint, Silver paint",Iris (diptych),Prints,205,1850,Canvas,Nature,Daria Bagrintseva,2015-01-01.000,52,48  H x  72  W x  1.5  in,United States,$19250.00,(261)
Acrylic,Breathless,,75,581,Canvas,Landscape,Isabel Ferreira,2015-12-23.000,27,15.7  H x  15.7  W x  0.6  in,United Kingdom,$525.00,(71)
Acrylic,red lines,Prints,327,613,Canvas,Portrait,Philippe Vignal,2016-01-01.000,29,57.1  H x  45.3  W x  0.4  in,France,$2190.00,(44)
Oil,El Jaleo,,59,1859,Canvas,People,Michael LaCerda,2013-11-16.000,41,48  H x  60  W x  1.5  in,United States,$11000.00,(35)
Watercolor,Another dreams,Prints,29,1583,Paper,Fantasy,Ari Kwon,2015-01-01.000,26,15.7  H x  20.9  W x  1.2  in,South Korea,$840.00,(91)
"Oil, Charcoal",Before Sound II (after Barocci),,20,167,Wood,Culture,Richard Mongiat,2014-01-01.000,10,48  H x  36  W x  0.8  in,Canada,$2590.00,(14)
Oil,Woman with Purple Chair,Prints,383,256,Canvas,Women,Naoko Paluszak,2016-01-01.000,15,40  H x  40  W x  1.5  in,United States,$1640.00,(168)
Oil,Borderlands,,583,421,Canvas,Landscape,Paul Bennett,2016-01-01.000,11,39.4  H x  39.4  W x  1.6  in,United Kingdom,$2850.00,(97)
Oil,Blue Converses,Prints,2431,2279,Canvas,Women,Thomas Saliot,2016-01-01.000,68,47.2  H x  47.2  W x  0.4  in,France,$3050.00,(409)
Oil,Colony 84,Prints,163,1242,Canvas,Abstract,Larry Graeber,2008-06-03.000,28,68  H x  96  W x  1.8  in,United States,$15500.00,(153)
Oil,Unending expanses,Prints,62,201,Canvas,Landscape,Jaroslav Leonets,2016-01-01.000,13,25.6  H x  35.4  W x  0.8  in,Ukraine,$640.00,(53)
Oil,"Summer Day, Oil painting, One of a Kind",Prints,586,163,Canvas,Landscape,Vahe Yeremyan,2017-01-01.000,12,16  H x  20  W x  0.8  in,United States,$460.00,(899)
Oil,Havana 4,Prints,310,284,Aluminium,Architecture,Michael Goro,2016-01-01.000,22,36  H x  24  W x  1  in,United States,$3450.00,(55)
Oil,Jungle pile,,4,32,Canvas,Landscape,Hannah Secord Wade,2016-01-01.000,4,60  H x  48  W x  1.5  in,United States,$3350.00,(9)
"colour pencils, Dry brush paint, Copic markers, graphite","I Remember Life, in the House of Nature. A Pencil Painting",Prints,622,2078,"Paper, Wood",Mortality,Art Venti,2014-01-01.000,37,50  H x  40  W x  2  in,United Kingdom,$7700.00,(36)
Acrylic,LE SOMBRE RESSURGIT,Prints,299,247,Canvas,Landscape,Robert Gheyssens,2016-01-01.000,11,39.4  H x  39.4  W x  1.2  in,France,$2590.00,(125)
Acrylic,19mm x 50m 16,Prints,1162,1469,Paper,Abstract,Dragomir Misina,2014-06-01.000,22,4.3  H x  4.3  W x  0.8  in,United Kingdom,$190.00,(149)
Acrylic,Luau Show,,12,173,Canvas,Culture,Christina Keith,2012-01-01.000,4,18  H x  18  W x  2.5  in,United States,$430.00,(15)
Acrylic,Traveling in the golden environment,,104,899,Canvas,Landscape,Kaliya Kalacheva,2014-01-01.000,28,47.2  H x  55.1  W x  0.8  in,,$3250.00,(34)
Watercolor,Morning in Gurzuf,Prints,96,1335,Paper,Landscape,Artur Samofalov,2012-08-07.000,34,20.5  H x  29.9  W x  0.2  in,,$880.00,(91)
Oil,a big tree and women,Prints,0,307,Canvas,Landscape,Jonny Zhu,2015-02-19.000,7,19.5  H x  16  W x  2  in,,$360.00,(2)
Oil,White Horizons,Prints,72,73,Canvas,Nature,Viktor Kucheryavyy,2016-01-01.000,5,17.7  H x  23.6  W x  0.8  in,Ukraine,$560.00,(166)
Oil,The Lake,Prints,271,375,Canvas,Water,Tatiana Bugaenko,2015-01-01.000,21,19.3  H x  19.3  W x  0.4  in,,$990.00,(86)
"Oil, Ink, Marker, Charcoal, Pastel",Against Elements,Prints,840,2079,Paper,Nature,Marijah Bac Cam,2015-08-28.000,86,59.1  H x  39.4  W x  0  in,France,$2800.00,(290)
Acrylic,Voices #1,Prints,242,162,Paper,Abstract,Linda O'Neill,2017-01-01.000,9,12  H x  12  W x  0.1  in,United States,$345.00,(102)
"Acrylic, Spray Paint",Sint Nicolaas Straat,,5,564,"Canvas, Wood",Automobile,ODXT-Dean Rosenzweig,2016-01-06.000,16,55.1  H x  39.4  W x  1.6  in,Germany,$1610.00,(20)
"Acrylic, Charcoal, Paper",Overlook,,306,483,Canvas,Abstract,Michelle Daisley Moffitt,2016-01-01.000,32,20  H x  20  W x  1.5  in,United States,$660.00,(148)
"Acrylic, Ink",Karma 3,,28,117,Canvas,Abstract,Lyra Morgan,2015-01-01.000,4,35.8  H x  24  W x  1.4  in,United Kingdom,$570.00,(24)
"Acrylic, Conte, Pastel",Strange Birds : Gathering,Prints,7,55,Paper,Still Life,Nancy Hamlin-Vogler,2016-01-01.000,6,28  H x  23  W x  1  in,United States,$595.00,(22)
Acrylic,A sea in infested with mermaids,Prints,233,354,Canvas,Fantasy,Rie Kono,2017-01-01.000,13,20.7  H x  17.9  W x  1.2  in,Japan,$4410.00,(174)
Watercolor,Evening road,Prints,285,1350,Paper,Landscape,Oksana Reznik,2015-03-05.000,23,20.3  H x  14.2  W x  0.1  in,Ukraine,$345.00,(99)
Spray Paint,Flower,Prints,134,425,Canvas,Floral,Tomoya N,2016-01-01.000,15,25.6  H x  25.6  W x  1  in,Japan,$1090.00,(179)
Oil,Lost Dreams 29,,8,396,Canvas,Time,Galeriile Carol,2016-01-01.000,3,7.1  H x  9.4  W x  1  in,Romania,$870.00,(47)
Acrylic,Big Sur II,Prints,12,1222,Canvas,Abstract,Christina Twomey,2015-07-14.000,52,48  H x  36  W x  1.5  in,United States,$29000.00,(19)
Acrylic,Shadowed Chartreuse,Prints,28,507,Canvas,Nature,Jae Schalekamp,2015-01-01.000,17,12  H x  12  W x  1.5  in,United States,$200.00,(33)
Oil,Still Life with Description,Prints,330,1589,Canvas,Food,Karolina Zglobicka,2015-05-13.000,4,39.4  H x  35.4  W x  1.6  in,United Kingdom,$1850.00,(69)
Oil,men and women,Prints,108,1098,Canvas,Body,HYZHY OLEH,2014-10-15.000,29,31.5  H x  27.6  W x  0.6  in,Ukraine,$2950.00,(61)
"Oil, Pencil",LITTLE DRAGON'S BLACK FRIDAY,Prints,65,34,Paper,Graffiti,Celia Rung,2017-01-01.000,5,18.9  H x  31.1  W x  0  in,Switzerland,$1240.00,(17)
Oil,SPT (Save Planet Tegucigalpa),,126,348,Wood,Abstract,Ulugbek Doschanov,2016-01-01.000,10,27.9  H x  31.2  W x  0.1  in,Russia,$940.00,(317)
Acrylic,A Caelo Usque ad Centrum - From Heaven to the Center (Terra Incognita Series) Featured Painting on 1/11/16,Prints,361,1118,Canvas,Landscape,Christina Ilene Thomas,2015-01-01.000,41,36  H x  36  W x  1.5  in,United States,$4010.00,(35)
Acrylic,"""Complete set""",,274,575,Canvas,Architecture,Aljona Shapovalova,2013-01-15.000,9,47.2  H x  35.4  W x  1.6  in,Russia,$4410.00,(220)
"Acrylic, Ink, Spray Paint, Watercolor, charcoal",MORNING INSTINCT 1,Prints,161,653,Paper,Abstract,Terri Dilling,2016-04-01.000,14,22  H x  22  W x  0.3  in,United States,$1030.00,(84)
Acrylic,L'hésitation,,10,185,Canvas,Aerial,Yves Fièvé,2016-01-01.000,16,39.4  H x  63  W x  1.6  in,Belgium,$2910.00,(18)
Acrylic,White on Blue,Prints,18,274,Canvas,Abstract,Susan Fink,2015-01-01.000,24,16  H x  16  W x  1.5  in,United States,$560.00,(14)
Oil,1-10-16 figure study,Prints,607,1437,Canvas,People,thomas donaldson,2016-01-10.000,36,35.4  H x  35.4  W x  1.6  in,Thailand,$1450.00,(184)
"Acrylic, Ink, Gesso, Marker, Linocuts",Moments unnoticed 5,Prints,17,138,Paper,Abstract,Mandira Bhaduri,2013-01-01.000,5,18  H x  24  W x  0.1  in,India,$557.00,(54)
Oil,SKIN II,,3,130,Canvas,People,Charl Grabe,2015-05-08.000,1,33.9  H x  33.9  W x  2.4  in,South Africa,$2250.00,(14)
Oil,Cyclamen and Grapes with a Red Checked Cloth,Prints,107,221,Wood,Still Life,Lynne Cartlidge,2016-01-01.000,10,10  H x  8  W x  2.4  in,United Kingdom,$445.00,(176)
Acrylic,The Emotional Creation #147,,685,617,Canvas,Abstract,Carla Sa Fernandes,2017-01-01.000,27,35.4  H x  70.9  W x  1.6  in,Portugal,$4410.00,(251)
Oil,In Search of a Subject,,197,1001,Canvas,Children,Valery Koroshilov,2013-01-01.000,16,39.4  H x  39.4  W x  0.8  in,,$2140.00,(23)
Acrylic,Forgive me ...,Prints,292,522,Paper,People,Golriz Rezvani,2016-01-01.000,24,11.8  H x  17.7  W x  0  in,Canada,$610.00,(60)
"Acrylic, Enamel, Ink",All of Us All of You,,67,341,Canvas,Abstract,Rodrigue Semabia,2016-01-01.000,15,30  H x  24  W x  0.8  in,United States,$640.00,(394)
Oil,On the Defensive,,40,1519,Canvas,Men,Junsoo Kim,2014-09-10.000,31,51  H x  51  W x  2  in,South Korea,$5710.00,(26)
"Acrylic, Oil, Wax, Nails",Eidolon Series #7,,7,30,Wood,Abstract,Martha Carroll McCowin,2016-01-01.000,2,20  H x  20  W x  2.5  in,United States,$1500.00,(18)
Acrylic,Gathering,,86,426,"Sound, Wood, Other",Kids,Hilde Goossens,2015-05-08.000,12,15.7  H x  15.7  W x  0.5  in,Belgium,$1190.00,(54)
Oil,Dutchess The Clown,Prints,7,277,Canvas,Popular culture,Sam Roloff,2015-01-08.000,6,48  H x  60  W x  1.5  in,United States,$3310.00,(15)
Oil,Gravity,Prints,13,481,Canvas,Calligraphy,Lia Zuvilivia,2014-05-21.000,13,12  H x  12  W x  1  in,United States,$1540.00,(14)
"Watercolor, Acrylic",Constellations guardians,Prints,121,519,Paper,Horse,Kristine Kvitka,2015-01-01.000,13,33.5  H x  23.6  W x  0  in,Italy,$770.00,(86)
Gesso,THE LITTLE GLITTER GIRL,,256,923,Canvas,Portrait,sabine danze,2016-01-01.000,20,59  H x  74  W x  2  in,France,$13000.00,(48)
"Oil, gessoed masonite board",Breakfast,,24,2143,Other,Still Life,Vitaly Grigoryev,2010-01-01.000,46,24  H x  29  W x  0  in,Ukraine,$32000.00,(7)
Oil,The Fear Remains II,Prints,10,746,Other,People,Mirna Petrovic,2013-01-01.000,25,31.5  H x  47.2  W x  1.6  in,Croatia,$4410.00,(9)
"Acrylic, Ink, Paint, oil",Dusk,Prints,121,689,Other,Cities,Jeff Faerber,2013-05-09.000,38,20  H x  16  W x  1  in,United States,$1340.00,(81)
Acrylic,Bell Gardens,,19,146,Canvas,Architecture,Hilary Baker,2015-01-01.000,5,72  H x  56  W x  1.5  in,United States,$15000.00,(26)
"Acrylic, Gesso","Left,Right,Center",,0,185,Canvas,Abstract,Amrit Rai,2015-07-15.000,9,87  H x  72  W x  2  in,United States,$9550.00,(12)
"Acrylic, Spray Paint, Chalk, Enamel, Charcoal",Push,Prints,2,47,Canvas,Abstract,mike patino,2017-01-01.000,1,36  H x  36  W x  0.1  in,United States,$492.00,(8)
Oil,In Space and Time,,189,358,Canvas,Body,John Clark,2016-01-01.000,19,24  H x  24  W x  2  in,United Kingdom,$810.00,(22)
