medium,name,prints_available,artist_followers,num_views,material,subject,artist_name,date,num_favs,size,artist_country,price,artist_NoOfArts
Watercolor,Girl in a pink room,,0,34,Paper,People,Marie-Louise Fritzén,2015-12-13.000,0,19.7  H x  15.7  W x  0  in,Sweden,$240.00,(21)
"Oil, Gesso, Acrylic",MOSAIC  Part2,Prints,0,64,Canvas,Nature,Simeon Todev,2009-09-06.000,0,35.4  H x  35.4  W x  1  in,United Kingdom,$7160.00,(44)
Oil,breathing in the mist,,44,383,Canvas,Landscape,Nazarii Medvid,2016-01-01.000,17,39.9  H x  39.9  W x  0.7  in,Ukraine,$940.00,(6)
"Acrylic, Gesso",Abstract Thoughts X,,103,40,Wood,Abstract,geert lemmers,2017-01-01.000,3,31.5  H x  23.6  W x  1.2  in,Netherlands,$1240.00,(120)
Acrylic,Pulsation,Prints,0,87,Canvas,Abstract,Helena Gaudekova,2016-10-15.000,0,9.8  H x  11.8  W x  0.6  in,United Kingdom,$290.00,(8)
Acrylic,Existencia Insaciable,Prints,0,49,Cardboard,Erotic,Fran Salgado,2015-10-25.000,0,27.6  H x  19.7  W x  0.1  in,Venezuela,$610.00,(4)
Acrylic,Lower Falls of the Yellowstone,Prints,1,158,Other,Landscape,Michael Kerby,2012-10-15.000,1,32  H x  24  W x  1  in,,$2950.00,(12)
Oil,Ayampe,Prints,185,596,Cardboard,Seascape,Tanya Zevallos,2012-01-01.000,4,11.6  H x  15.9  W x  0  in,Ecuador,$160.00,(31)
"plexiglass, Oil, Wood, Paint",Via Veneto,,2,32,"Wood, Plastic",Architecture,Lisa Reindorf,2014-01-01.000,0,24  H x  24  W x  3  in,United States,$1105.00,(19)
"Oil, Watercolor, Ballpoint Pen, Color, Paper",Lady with shoulder chain,Prints,0,86,"Canvas, Cardboard, Paper, Soft (Yarn, Cotton, Fabric), Other",Fashion,Elmo Harison,2017-01-01.000,0,11.8  H x  8.3  W x  0  in,Indonesia,$560.00,(42)
Oil,Return to Ecstasy,Prints,0,86,Canvas,Portrait,daisy naidu,2016-01-01.000,1,48  H x  36  W x  1  in,India,$3750.00,(12)
oil,Under The Sea,Prints,0,90,Canvas,Seascape,Laney Dale,2015-02-24.000,0,16  H x  20  W x  1  in,,$160.00,(9)
"Acrylic, Chalk, Pencil, Paint, Plastic",selfportrait,,1,5,"Canvas, Plastic",Abstract,Ulay Zholobova,2017-01-01.000,0,10  H x  35  W x  0.2  in,Russia,$180.00,(3)
Acrylic,Erotic,,0,28,Canvas,Abstract,Rajendra Khairnar  ketraj fine art gallery,2012-01-01.000,1,30  H x  16  W x  1.5  in,India,$760.00,(19)
"Acrylic, Paint, Oil, Color",still life with bananas,Prints,0,6,Canvas,Still Life,Zaira Astemirova,2015-01-01.000,0,50  H x  60  W x  2  in,Russia,$710.00,(4)
Oil,The Goblin King,,9,120,Canvas,Celebrity,Drew Darcy,2016-01-01.000,0,36  H x  36  W x  1.5  in,United Kingdom,$1590.00,(18)
Acrylic,Red Cardinal,,0,18,Canvas,Portrait,Alexander Nikanpour,2016-01-01.000,0,20  H x  20  W x  1.6  in,United States,$680.00,(9)
Oil,San Michele e Lucifero,,0,108,Canvas,Classical mythology,Alessandro Luschi,2015-01-01.000,0,47.2  H x  39.4  W x  0.8  in,Italy,$2450.00,(18)
